,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAT Final Diagnostic Score Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Your SAT score is calculated from the four test modules across two sections: Reading and Writing and Math. The raw points (total number of correct answers) from each module are converted into a scaled score, which adds to a maximum of 1600 points. There are 800 points available in Reading and Writing and 800 in Math. Your composite and section scores on this diagnostic are reported as a range due to the adaptive nature of the digital SAT and the unknowns inherent to the SAT's proprietary algorithms. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Composite Score,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,400,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reading and Writing Module 1,,,,,,Reading and Writing Module 2,,,,,,,,,,,,,,,,,,
,,,,Raw Points,,0,,,,Raw Points,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reading and Writing Score,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Math Module 1,,,,,,Math Module 2,,,,,,,,,,,,,,,,,,
,,,,Raw Score,,0,,,Raw Score,,,,0,,,,,,,,,,,,,,,
,,,,Multiple Choice Raw,,0,,,Multiple Choice Raw,,,,0,,,,,,,,,,,,,,,
,,,,Student Produced Response Raw,,0,,,Student Produced Response Raw,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Math Score,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Reading and Writing Module 1,,,,,Reading and Writing Module 2,,,,,,,,,,,,,,,,,,,,
,,,Raw Score,,0,,,Raw Score,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Question,Correct Answer,Student Answer,Point,Question Domain,,,Question,Correct Answer,Student Answer,Point,Question Domain,,,,,,,,,,,,,,,,
,1,A,,0,Craft and Structure,,,1,B,,0,Craft and Structure,,,,,,,,,,,,,,,,
,2,A,,0,Craft and Structure,,,2,B,,0,Craft and Structure,,,,,Math Graph Data,,,,,,,Reading and Writing Graph Data,,,,
,3,C,,0,Craft and Structure,,,3,B,,0,Craft and Structure,,,,,,,,,,,,,,,,
,4,A,,0,Craft and Structure,,,4,B,,0,Craft and Structure,,,,,,,,,,,Question Domain,,,,,
,5,B,,0,Craft and Structure,,,5,A,,0,Craft and Structure,,,,,,,,,,,Craft and Structure,,,15,0,0%
,6,D,,0,Craft and Structure,,,6,C,,0,Craft and Structure,,,,,Question Category,,,,,,Information and Ideas,,,14,0,0%
,7,B,,0,Craft and Structure,,,7,C,,0,Craft and Structure,,,,,Multiple Choice,,30,0,0%,,Standard English Conventions,,,14,0,0%
,8,B,,0,Craft and Structure,,,8,A,,0,Information and Ideas,,,,,SPR,,14,0,0%,,Expression of Ideas,,,11,0,0%
,9,C,,0,Information and Ideas,,,9,A,,0,Information and Ideas,,,,,,,,,,,,,,,,
,10,D,,0,Information and Ideas,,,10,B,,0,Information and Ideas,,,,,Question Domain,,,,,,,,,,,
,11,A,,0,Information and Ideas,,,11,C,,0,Information and Ideas,,,,,Algebra,,15,0,0%,,,,,,,
,12,C,,0,Information and Ideas,,,12,C,,0,Information and Ideas,,,,,Advanced Math,,15,0,0%,,,,,,,
,13,A,,0,Information and Ideas,,,13,A,,0,Information and Ideas,,,,,Geometry/Trigonometry,,8,0,0%,,,,,,,
,14,A,,0,Information and Ideas,,,14,B,,0,Information and Ideas,,,,,Problem Solving/Data Analysis,,6,0,0%,,,,,,,
,15,A,,0,Standard English Conventions,,,15,D,,0,Information and Ideas,,,,,,,,,,,,,,,,
,16,D,,0,Standard English Conventions,,,16,C,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,17,D,,0,Standard English Conventions,,,17,B,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,18,D,,0,Standard English Conventions,,,18,D,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,19,B,,0,Standard English Conventions,,,19,A,,0,Standard English Conventions,,,,,,,,,,,,,,,,
,20,C,,0,Standard English Conventions,,,20,B,,0,Standard English Conventions,,,,,,,,,,,,,,,,
